Name,Status,author,venue,year
Disentangled Graph Convolutional Networks,,"Jianxin Ma, P. Cui, Kun Kuang, X. Wang, Wenwu Zhu.",ICML,2019
Independence Promoted Graph Disentangled Networkshttps://arxiv.org/pdf/1911.11430.pdf,,"Yanbei Liu, Xiao Wang, S. Wu, Zhitao Xiao.",AAAI,2020
Neighborhood Adaptive Graph Convolutional Network for Node Classification,,"Peiliang Gong, Lihua Ai",IEEE Access,2019
,In progress,,,
Adversarial Training Methods for Network Embedding,Completed,"Quanyu Dai, X. Shen, Liang Zhang, Q. Li, D. Wang",WWW,2019
